latitude,longitude,chi,elevation,flow_distance,drainage_area,slope,source_key,basin_key
34.4688252,110.296687,1.55,693,10618,2.6188e+07,0.056054,0,0
34.4693719,110.297663,1.5276,686,10503,2.6248e+07,0.040865,0,0
34.4696443,110.297987,1.5193,685,10461,2.6251e+07,0.041846,0,0
34.4699167,110.298311,1.511,682,10418,2.6286e+07,0.039858,0,0
34.4699167,110.298311,1.511,682,10418,2.6286e+07,0.039858,0,0
34.4699167,110.298311,1.511,682,10418,2.6286e+07,0.043534,0,0
34.4704634,110.299287,1.4886,680,10303,2.6296e+07,0.03889,0,0
34.4707358,110.299611,1.4803,677,10261,2.6316e+07,0.039519,0,0
34.4710082,110.299936,1.4721,674,10219,2.6478e+07,0.03889,0,0
34.4710082,110.299936,1.4721,674,10219,2.6478e+07,0.043839,0,0
34.4718217,110.300256,1.4522,672,10116,2.6528e+07,0.040865,0,0
34.4718217,110.300256,1.4522,672,10116,2.6528e+07,0.04193,0,0
34.4718217,110.300256,1.4522,672,10116,2.6528e+07,0.040865,0,0
34.4723665,110.300904,1.4357,670,10031,2.6552e+07,0.041421,0,0
34.4726388,110.301229,1.4275,666,9988.8,2.6554e+07,0.034518,0,0
34.4729094,110.301226,1.4216,663,9958.8,2.6571e+07,0.033502,0,0
34.4729094,110.301226,1.4216,663,9958.8,2.6571e+07,0.034464,0,0
34.4729094,110.301226,1.4216,663,9958.8,2.6571e+07,0.036244,0,0
34.4734542,110.301875,1.4018,662,9856.4,2.6769e+07,0.037245,0,0
34.473456,110.302202,1.396,661,9826.4,2.677e+07,0.04194,0,0
34.4734579,110.302529,1.3902,659,9796.4,2.6782e+07,0.043556,0,0
34.4740064,110.303831,1.3622,656,9651.5,2.6872e+07,0.038127,0,0
34.4742806,110.304482,1.3483,652,9579.1,2.6934e+07,0.036244,0,0
34.4742806,110.304482,1.3483,652,9579.1,2.6934e+07,0.03641,0,0
34.4742806,110.304482,1.3483,652,9579.1,2.6934e+07,0.038509,0,0
34.4742806,110.304482,1.3483,652,9579.1,2.6934e+07,0.04193,0,0
34.4745512,110.30448,1.3425,649,9549.1,2.6936e+07,0.042908,0,0
34.4745512,110.30448,1.3425,649,9549.1,2.6936e+07,0.04184,0,0
34.4748236,110.304804,1.3343,646,9506.7,2.6969e+07,0.039858,0,0
34.4748236,110.304804,1.3343,646,9506.7,2.6969e+07,0.043534,0,0
34.4748236,110.304804,1.3343,646,9506.7,2.6969e+07,0.043534,0,0
34.4750959,110.305128,1.3261,646,9464.3,2.7006e+07,0.044507,0,0
34.4756407,110.305777,1.3098,642,9379.4,2.7008e+07,0.043358,0,0
34.4756407,110.305777,1.3098,642,9379.4,2.7008e+07,0.03889,0,0
34.4761855,110.306426,1.2935,638,9294.5,2.7064e+07,0.040408,0,0
34.4770008,110.307073,1.2714,635,9179.7,2.7539e+07,0.03593,0,0
34.4770008,110.307073,1.2714,635,9179.7,2.7539e+07,0.03889,0,0
34.4770008,110.307073,1.2714,635,9179.7,2.7539e+07,0.039853,0,0
34.4778123,110.307066,1.2495,632,9064.8,2.759e+07,0.040865,0,0
34.4780847,110.30739,1.2415,630,9022.4,2.7591e+07,0.037605,0,0
34.4783571,110.307715,1.2334,626,8980,2.7598e+07,0.037382,0,0
34.4783571,110.307715,1.2334,626,8980,2.7598e+07,0.039485,0,0
34.4783571,110.307715,1.2334,626,8980,2.7598e+07,0.040865,0,0
34.4788981,110.30771,1.222,625,8920,2.7624e+07,0.042908,0,0
34.4791687,110.307708,1.2162,622,8890,2.7976e+07,0.04193,0,0
34.4791687,110.307708,1.2162,622,8890,2.7976e+07,0.04193,0,0
34.4791687,110.307708,1.2162,622,8890,2.7976e+07,0.04193,0,0
34.4797134,110.308357,1.2002,620,8805.1,2.7985e+07,0.04193,0,0
34.4805287,110.309004,1.1785,614,8690.3,2.8105e+07,0.036249,0,0
34.4805287,110.309004,1.1785,614,8690.3,2.8105e+07,0.038223,0,0
34.4805287,110.309004,1.1785,614,8690.3,2.8105e+07,0.038505,0,0
34.4810734,110.309653,1.1592,612,8587.9,2.8315e+07,0.031532,0,0
34.4813458,110.309977,1.1513,610,8545.4,2.8327e+07,0.031532,0,0
34.4813458,110.309977,1.1513,610,8545.4,2.8327e+07,0.033109,0,0
34.4816182,110.310302,1.1433,608,8503,2.8366e+07,0.033098,0,0
34.4821592,110.310297,1.132,607,8443,2.837e+07,0.034753,0,0
34.482704,110.310946,1.1161,603,8358.1,2.8388e+07,0.032217,0,0
34.482704,110.310946,1.1161,603,8358.1,2.8388e+07,0.032167,0,0
34.482704,110.310946,1.1161,603,8358.1,2.8388e+07,0.033793,0,0
34.4835174,110.311266,1.0969,602,8255.7,2.8513e+07,0.036244,0,0
34.4840621,110.311915,1.081,599,8170.9,2.8516e+07,0.037038,0,0
34.4843345,110.31224,1.0731,596,8128.4,2.8566e+07,0.03607,0,0
34.4843345,110.31224,1.0731,596,8128.4,2.8566e+07,0.038127,0,0
34.4843345,110.31224,1.0731,596,8128.4,2.8566e+07,0.037245,0,0
34.4848755,110.312235,1.0618,595,8068.4,2.8575e+07,0.037038,0,0
34.4851461,110.312233,1.0562,593,8038.4,2.8584e+07,0.036065,0,0
34.4854166,110.312231,1.0506,591,8008.4,2.8588e+07,0.036074,0,0
34.4854166,110.312231,1.0506,591,8008.4,2.8588e+07,0.038131,0,0
34.4854166,110.312231,1.0506,591,8008.4,2.8588e+07,0.041482,0,0
34.4854166,110.312231,1.0506,591,8008.4,2.8588e+07,0.041482,0,0
34.4856871,110.312228,1.045,589,7978.4,2.8588e+07,0.037757,0,0
34.4865005,110.312548,1.0259,586,7876,2.8777e+07,0.040201,0,0
34.4867729,110.312873,1.018,584,7833.6,2.8783e+07,0.040585,0,0
34.4867729,110.312873,1.018,584,7833.6,2.8783e+07,0.042958,0,0
34.4870434,110.312871,1.0124,583,7803.6,2.8789e+07,0.041482,0,0
34.4875863,110.313193,0.99894,581,7731.2,2.9219e+07,0.042458,0,0
34.4881292,110.313515,0.98229,579,7641.2,2.9238e+07,0.038223,0,0
34.4884016,110.31384,0.97445,577,7598.7,2.9241e+07,0.038505,0,0
34.4884016,110.31384,0.97445,577,7598.7,2.9241e+07,0.040421,0,0
34.4886739,110.314164,0.9666,573,7556.3,2.9251e+07,0.036403,0,0
34.4886739,110.314164,0.9666,573,7556.3,2.9251e+07,0.035483,0,0
34.4886739,110.314164,0.9666,573,7556.3,2.9251e+07,0.035598,0,0
34.4889463,110.314489,0.95876,570,7513.9,2.9338e+07,0.033098,0,0
34.4889463,110.314489,0.95876,570,7513.9,2.9338e+07,0.035483,0,0
34.4892187,110.314813,0.95092,570,7471.5,2.9352e+07,0.035598,0,0
34.489491,110.315138,0.94309,568,7429,2.9357e+07,0.035599,0,0
34.489491,110.315138,0.94309,568,7429,2.9357e+07,0.034827,0,0
34.4897634,110.315462,0.93526,566.01,7386.6,3.0136e+07,0.034753,0,0
34.4908491,110.316107,0.90888,563,7241.8,3.0209e+07,0.029556,0,0
34.4913938,110.316756,0.89025,560,7139.3,3.0234e+07,0.028033,0,0
34.4913938,110.316756,0.89025,560,7139.3,3.0234e+07,0.029713,0,0
34.4922091,110.317403,0.86938,558,7024.5,3.0327e+07,0.027149,0,0
34.4924796,110.317401,0.86393,556,6994.5,3.033e+07,0.027397,0,0
34.4924796,110.317401,0.86393,556,6994.5,3.033e+07,0.028509,0,0
34.4924796,110.317401,0.86393,556,6994.5,3.033e+07,0.029716,0,0
34.492752,110.317725,0.85622,554,6952,3.0335e+07,0.030109,0,0
34.4932948,110.318047,0.84308,553,6879.6,3.0368e+07,0.026698,0,0
34.4935672,110.318372,0.83538,552,6837.2,3.0377e+07,0.028892,0,0
34.4935672,110.318372,0.83538,552,6837.2,3.0377e+07,0.030593,0,0
34.4941101,110.318694,0.82224,549,6764.8,3.0399e+07,0.029023,0,0
34.4941101,110.318694,0.82224,549,6764.8,3.0399e+07,0.031363,0,0
34.4943806,110.318692,0.8168,549,6734.8,3.0408e+07,0.033378,0,0
34.4946529,110.319017,0.8091,548,6692.3,3.0411e+07,0.034053,0,0
34.4949271,110.319668,0.79597,545,6619.9,3.0442e+07,0.031791,0,0
34.4954718,110.320317,0.78059,544,6535.1,3.0459e+07,0.025037,0,0
34.4957441,110.320642,0.77291,543,6492.6,3.0466e+07,0.024656,0,0
34.4957441,110.320642,0.77291,543,6492.6,3.0466e+07,0.026014,0,0
34.4960165,110.320966,0.76522,540,6450.2,3.0471e+07,0.030407,0,0
34.4960165,110.320966,0.76522,540,6450.2,3.0471e+07,0.030287,0,0
34.4962888,110.321291,0.75753,537,6407.8,3.0493e+07,0.029244,0,0
34.4962888,110.321291,0.75753,537,6407.8,3.0493e+07,0.030583,0,0
34.4962888,110.321291,0.75753,537,6407.8,3.0493e+07,0.034292,0,0
34.4962888,110.321291,0.75753,537,6407.8,3.0493e+07,0.034339,0,0
34.4968335,110.32194,0.74217,534.01,6322.9,3.0511e+07,0.036717,0,0
34.4976469,110.32226,0.71913,534,6195.7,3.1935e+07,0.037723,0,0
34.4979192,110.322585,0.71162,534,6153.2,3.1943e+07,0.040831,0,0
34.4981916,110.322909,0.70411,533,6110.8,3.1945e+07,0.039854,0,0
34.4981934,110.323236,0.69881,529,6080.8,3.1947e+07,0.035794,0,0
34.4981952,110.323563,0.6935,526,6050.8,3.1949e+07,0.034827,0,0
34.4981952,110.323563,0.6935,526,6050.8,3.1949e+07,0.033793,0,0
34.498197,110.323889,0.68819,523,6020.8,3.1959e+07,0.031546,0,0
34.498197,110.323889,0.68819,523,6020.8,3.1959e+07,0.033804,0,0
34.498197,110.323889,0.68819,523,6020.8,3.1959e+07,0.03641,0,0
34.498197,110.323889,0.68819,523,6020.8,3.1959e+07,0.039453,0,0
34.498197,110.323889,0.68819,523,6020.8,3.1959e+07,0.043052,0,0
34.4981988,110.324216,0.68288,523,5990.8,3.197e+07,0.045193,0,0
34.4990158,110.32519,0.66038,519,5863.5,3.2013e+07,0.031688,0,0
34.4990212,110.32617,0.64448,516,5773.5,3.2045e+07,0.031131,0,0
34.4998382,110.327144,0.622,512.01,5646.2,3.2092e+07,0.028301,0,0
34.4998382,110.327144,0.622,512.01,5646.2,3.2092e+07,0.028301,0,0
34.5001123,110.327795,0.60922,512,5573.8,3.2108e+07,0.028808,0,0
